schema_version	query_id	query_class	profile	threads	candidate_limit	cache_block_bytes	repeat	status	exit_code	wall_seconds	user_seconds	system_seconds	peak_rss_kib	candidate_count	alignment_count	output_bytes	archive_count	archive_size_bytes	archive_build_wall_seconds	archive_build_cpu_seconds	metadata_requests	head_requests	get_requests	range_requests	stream_requests	requested_bytes	returned_bytes	decoded_bytes	remote_bytes	cache_bytes	cache_hits	cache_misses	cache_evictions	stale_cache_rejections	retries	full_object_fallbacks	seed_buckets_read	sequence_blocks_read	seed_count_proxy	bucket_count_proxy	anchor_count_proxy	chain_count_proxy	sequence_count_proxy	alignment_count_proxy	output_bytes_proxy	thread_count_proxy
1.0.0	J01749.1__q2000	small	balanced	16	100	65536	1	complete	0	0.03324788299505599	0.023245	0.015479	109732	1	1	6277	3	26032220			14	0	0	12	0	1693641	1693641	1315955	0	53414	3	26	0	0	0	0	7	1		14			2		6277	16
1.0.0	J01749.1__q2000	small	balanced	16	100	262144	1	complete	0	0.03157270199881168	0.021935	0.014509	110028	1	1	6280	3	26032220			14	0	0	12	0	3004361	3004361	1315955	0	61030	4	12	0	0	0	0	7	1		14			2		6280	16
1.0.0	J01749.1__q2000	small	balanced	16	100	1048576	1	complete	0	0.03663468299782835	0.020603	0.021348	117032	1	1	6281	3	26032220			14	0	0	12	0	6412233	6412233	1315955	0	75206	6	7	0	0	0	0	7	1		14			2		6281	16
1.0.0	J01749.1__q2000	small	sensitive	1	1	16384	1	complete	0	0.03674610099551501	0.026310999999999998	0.009489	43844	1	1	6280	3	26032220			20	0	0	18	0	1562569	1562569	1404339	0	23264	3	96	0	0	0	0	13	1		26			2		6280	1
1.0.0	J01749.1__q2000	small	sensitive	1	1	65536	1	complete	0	0.03731497799890349	0.02505	0.011313	44140	1	1	6280	3	26032220			20	0	0	18	0	2302021	2302021	1404339	0	53414	3	36	0	0	0	0	13	1		26			2		6280	1
1.0.0	J01749.1__q2000	small	sensitive	1	1	262144	1	complete	0	0.039923076998093165	0.026605	0.012447	47232	1	1	6283	3	26032220			20	0	0	18	0	4464709	4464709	1404339	0	61030	4	18	0	0	0	0	13	1		26			2		6283	1
1.0.0	J01749.1__q2000	small	sensitive	1	1	1048576	1	complete	0	0.04344412800128339	0.031748	0.011042999999999999	53748	1	1	6286	3	26032220			20	0	0	18	0	8921157	8921157	1404339	0	98118	9	10	0	0	0	0	13	1		26			2		6286	1
1.0.0	J01749.1__q2000	small	sensitive	1	100	16384	1	complete	0	0.036700576994917355	0.026871	0.00872	44036	1	1	6286	3	26032220			20	0	0	18	0	1562569	1562569	1404339	0	23264	3	96	0	0	0	0	13	1		26			2		6286	1
1.0.0	J01749.1__q2000	small	sensitive	1	100	65536	1	complete	0	0.04076215999521082	0.027961999999999997	0.011644999999999999	43756	1	1	6286	3	26032220			20	0	0	18	0	2302021	2302021	1404339	0	53414	3	36	0	0	0	0	13	1		26			2		6286	1
1.0.0	J01749.1__q2000	small	sensitive	1	100	262144	1	complete	0	0.041171657998347655	0.026373999999999998	0.013578999999999999	45312	1	1	6289	3	26032220			20	0	0	18	0	4464709	4464709	1404339	0	61030	4	18	0	0	0	0	13	1		26			2		6289	1
1.0.0	J01749.1__q2000	small	sensitive	1	100	1048576	1	complete	0	0.04593929700058652	0.027652999999999997	0.017579	53216	1	1	6292	3	26032220			20	0	0	18	0	8921157	8921157	1404339	0	98118	9	10	0	0	0	0	13	1		26			2		6292	1
1.0.0	J01749.1__q2000	small	sensitive	4	1	16384	1	complete	0	0.037485608001588844	0.026019	0.010898	60372	1	1	6280	3	26032220			20	0	0	18	0	1562569	1562569	1404339	0	23264	3	96	0	0	0	0	13	1		26			2		6280	4
